game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
Submerged: Hidden Depths₹709,Submerged: Hidden Depths,₹709,ExplorationAdventure,Single Player,DeveloperUppercut Games Pty Ltd,PublisherUppercut Games Pty Ltd,Release Date03/10/22,PlatformWindowsWindows,Windows 10,6GB,NVIDIA GeForce GTX 780 - AMD Radeon R7 260X,DirectX 11,12GB,"Text: Japanese, Korean, Norwegian, Portuguese, Chinese (Traditional), Chinese (Simplified), Spanish (Spain), Finnish, French, Italian, German, Danish, Turkish, Dutch, Polish, English, Russian, Swedish",56%,74,Fair
"Detroit: Become Human₹1,899",Detroit: Become Human,"₹1,899",ActionNarration,Single Player,DeveloperQuantic Dream,PublisherQuantic Dream,Release Date12/12/19,PlatformWindowsWindows,Windows 10 (64 bit),8GB RAM,Nvidia GeForce GTX 780 or AMD HD 7950 (Support of Vulkan 1.1 required),8GB RAM,55GB,null,72%,79,Strong
Omen Of Sorrow₹595,Omen Of Sorrow,₹595,Fighting,Multiplayer,DeveloperAOne Games,PublisherAOne Games,Release Date06/07/19,PlatformWindowsWindows,"WINDOWS® 7, 8, 8.1, 10 (64-bit)",8 GB RAM,NVIDIA GeForce GTX 960,null,null,null,6%,62,Weak
Beholder 3₹349,Beholder 3,₹349,SimulationAdventureIndie,Single Player,DeveloperPaintbucket Games,PublisherAlawar Premium,Release Date03/03/22,Windows ,Windows 7,4 GB RAM,Nvidia GeForce GTX 960 or equvalent,null,null,"Text: German, Russian, English, Chinese (Simplified)",null,null,null
OPUS: Echo of Starsong₹499,OPUS: Echo of Starsong,₹499,NarrationAdventureIndie,Single Player,DeveloperSIGONO INC.,PublisherSIGONO INC.,Release Date04/15/22,Windows ,Windows 10,4 GB RAM,"NVIDIA GeForce GTX, 1 GB / AMD Radeon HD 7850, 2 GB",DirectX 11,4 GB available space,"Text: English, Chinese (Simplified), Chinese (Traditional), Japanese",null,null,null
Dollhouse₹529,Dollhouse,₹529,HorrorFirst PersonSurvival,Single PlayerController Support,DeveloperCreazn Studio,PublisherSOEDESCO,Release Date10/29/21,PlatformWindowsWindows,Windows 10 (both 32/64bit versions),4 GB RAM,nVidia GeForce GTX970 or Radeon™ RX 580,DirectX 11,8GB,"Text: Japanese, Portuguese, Polish, Chinese (Simplified), German, Spanish (Spain), French, Italian, English",7%,51,Weak
InnerSpace₹521,InnerSpace,₹521,Exploration,Single Player,DeveloperPolyKnight Games,PublisherAspyr Media,Release Date01/16/18,PlatformWindowsWindowsMac OSMac OS,Windows 7 or Windows 10,8 GB RAM,Nvidia GPU GeForce GTX 650 / AMD GPU Radeon HD 6850 / Intel Iris Pro 5200,Version 9.0,5 GB available space,null,25%,66,Fair
Last Day of June₹595,Last Day of June,₹595,RPGIndie,Single PlayerController Support,DeveloperOvosonico,Publisher505 Games,Release Date08/31/17,PlatformWindowsWindows,Windows 7/8/10 (64-bit OS required),4 GB RAM,"NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent",Version 11,3 GB available space,null,59%,73,Fair
INSIDE₹595,Inside,₹595,IndiePuzzleAdventure,Controller SupportSingle Player,DeveloperPlaydead,PublisherPlaydead,Release Date07/07/16,PlatformWindowsWindowsMac OSMac OS,Windows 7/8/10 (64-bit OS required),4 GB RAM,"NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent",Version 9.0c,3 GB available space,null,94%,91,Mighty
Firework₹349,Firework,₹349,IndieHorrorNarration,Single Player,DeveloperShiying Studio,PublisherGamera Game,Release Date12/14/21,PlatformWindowsWindows,Windows 7,2 GB RAM,Nvidia GTS 450,null,null,Text: English,null,null,null
Journey₹446,Journey,₹446,IndieAdventure,Co-opSingle Player,Developerthatgamecompany,PublisherAnnapurna Interactive,Release Date06/06/19,PlatformWindowsWindows,Windows 7,4 GB System RAM & 1 GB Video RAM,Nvidia GTS 450 | AMD Radeon HD 5750,4 GB,AVX instruction set required,null,96%,93,Mighty
