game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
Doodle God₹349,Doodle God,₹349,PuzzleSimulationIndie,Controller SupportSingle Player,DeveloperJoyBits,PublisherJoyBits,Release Date03/10/22,PlatformWindowsWindows,7,2048 MB,ATI X1800 or better / nVidia 7800 or better / Intel 4100 or better,DirectX 9,1024 MB,"Text: Spanish (Spain), Russian, Dutch, Chinese (Simplified), Polish, Portuguese, Japanese, Korean, German, English, French, Italian, Swedish",null,null,null
AXIOM VERGE₹595,Axiom Verge,₹595,ActionPlatformer,Controller SupportSingle Player,DeveloperThomas Happ Games LLC,PublisherThomas Happ Games LLC,Release Date05/14/15,PlatformWindowsWindows,Windows XP,500 MB RAM,"AXIOM VERGE“You think you know how Axiom Verge will play out. But you don't.”
5/5 Stars – Giant Bomb“...simply one of the best games I've played in years.”
5/5 Stars – US GamerAfter a lab accident, a scientist awakens in a mysterious, alien world. Is this a distant planet? The far future? Or a complex virtual-reality computer simulation?
Plumb the recesses of a large, labyrinthine world in order to learn its secrets and uncover your role within it.
Discover tons of weapons, items, and abilities, each with their own unique behaviors and usage. You’ll need your wits to find them all.
Combat bizarre biomechanoid constructs, the deadly fallout of an ancient war, and the demons of your own psyche.
And finally, break the game itself by using glitches to corrupt foes and solve puzzles in the environment.
Life. Afterlife. Real. Virtual. Dream. Nightmare. It's a thin line.
It's Axiom Verge.",300 MB available space,Dual Shock 4 or XInput controller recommended,null,83%,85,Mighty
"Back 4 Blood: Standard Edition₹2,999",Back 4 Blood: Standard Edition,"₹2,999",ActionFirst PersonShooter,Co-opMultiplayerSingle Player,DeveloperTurtle Rock Studios,PublisherWarner Bros. Games,Release Date10/12/21,PlatformWindowsWindows,64-bit Windows 10,8 GB,"Back 4 BloodBack 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. You are at the center of a war against the Ridden. These once-human hosts of a deadly parasite have turned into terrifying creatures bent on devouring what remains of civilization. With humanity's extinction on the line, it's up to you and your friends to take the fight to the enemy, eradicate the Ridden, and reclaim the world.Cooperative CampaignFight your way through a dynamic, perilous world in a 4-player co-op story campaign where you must work together to survive increasingly challenging missions. Play with up to 3 of your friends online or go solo and lead your team in battle.Choose from 8 customizable Cleaners, one of the immune survivors, and a range of lethal weapons and items. Strategize against an ever-evolving enemy bent on your total destruction.Competitive MultiplayerPlay with or against friends in PVP. Switch between playing as a Cleaner with special perks and the horrific Ridden. Both sides come with unique weapons, abilities, and specialties.Extreme ReplayabilityA new ""rogue-lite"" Card System creates different experiences each and every time, putting you in control to craft custom decks, roll different builds and undertake more demanding fights.The Game Director is constantly adjusting to player actions, ensuring exciting fights, extreme gameplay diversity, and tougher legions of Ridden - including mutated boss types up to 20 feet tall.",NVIDIA GeForce GTX 1050 Ti OR AMD Radeon RX 570,DX 12,null,72%,76,Strong
Cardpocalypse Standard Edition₹968,Cardpocalypse,₹968,IndieRPGCard Game,Single Player,DeveloperGambrinous,PublisherVersus Evil,Release Date09/19/19,PlatformWindowsWindows,Windows 7,4 GB RAM,"CardpocalypseMake friends, play cards, twist the rules, become a Mega Mutant Power Pets master, and try to save the world in this single-player RPG about being a 90’s kid. On her first day at Dudsdale Elementary, 10-year old Jess accidentally gets everybody's favorite collectible card game banned, forcing the kids to take their card battles underground. Troubles arise when mutants from the game invade the real world, and it’s up to Jess and friends to stop them. From the award-winning indie game studio, Gambrinous, creators of Guild of Dungeoneering, comes an RPG where battles are played with an epic collectible card game. Cardpocalypse takes you back to the 1990’s, a time when computers used floppy disks, and people read magazines for video game cheat codes. You will explore Dudsdale Elementary on a mission to build killer card decks in an effort to defeat the mutants. You will have to trade, earn, wager, change rules and permanently alter cards on your way to victory.● BE A CHAMPION: Build your decks around the ultra rare Champion cards you earn. Each Champion comes with unique abilities to tailor your deck around. First player to get their opponent’s Champion card’s health to zero wins the match.● GO MEGA: Champion cards evolve to their MEGA forms when their health halves, doing more attack damage and gaining new powers.● CHANGE THE GAME: The kids sometimes use house rules and who knows what the Mutants will change. Throughout the game you will choose the new rules and conditions as well as renaming your favorite cards and giving them upgrades using stickers. Create entirely new cards using the Mega Mutant Power Magazine. But be careful, these decisions are permanent.● GET SCRAPPY: Adventure throughout the school to unravel the strange occurances at Dudsdale Elementary. Take on quests to earn cards, stickers, and candy which you can collect and trade with your classmates. Careful, there’s no backsies!● YOU CAN’T COLLECT ‘EM ALL: In the end, your decks and rules will be unique to you. Stickers are rare, choices matter, and sometimes you’ll have to make a tough decision to get the best cards.● THE 1990’s: Through its totally rad, choice-driven, interactive narrative, Cardpocalypse delivers the experience of being a 90’s kid. Boo-ya!● Now featuring Gauntlet Mode! A roguelike mode where every run is unique. Pick your champion and fight your way through ever more difficult battles. After every win draft new cards, rules and rewards for your deck! Can you build the ultimate combo and beat the Gauntlet?",500 MB available space,null,null,null,null,null
Child of Light: Ultimate Edition₹999,Child of Light: Ultimate Edition,₹999,RPGAdventure,null,DeveloperUbisoft Montréal,PublisherUbisoft,Release Date04/30/14,PlatformWindowsWindows,"Windows Vista, Windows 7 SP1, Windows 8/8.1 (32/64bit versions)",nVidia GeForce 8800 GT or AMD Radeon HD2900 XT (512MB VRAM with Shader Model 4.0 or higher),"Child of Light: Ultimate EditionAN ADVENTURE AWAITS!Created by a talented team at Ubisoft Montreal using the UbiArt Framework, Child of Light is an RPG inspired by fairy tales complemented with a story carefully crafted in verse and rhyme. Step into a living painting, the breathtaking scenery of Lemuria is an invitation to explore a long lost world.ENTER THE WORLD OF LEMURIAAcross your journey through Lemuria you will encounter many eccentric creatures, from spirits of the forest to talking mice to wicked witches and evil sea serpents. Discover a vast land with iconic locations and exciting dungeons that will evolve as Aurora regains the stolen lights.FIGHT THE DARKBattle enemies using an Active-Time Battle System alongside the firefly Igniculus and other members of Aurora’s party on their quest to recover the sun, the moon and the stars. Beat your enemies using a deep party system and the varied skill trees of your party. Play with a friend as both Aurora and Igniculus using the seamless drop-in drop-out cooperative multiplayer.Enhance your Child of Light experience with the Ultimate Edition, including the game and the seven-original additional oculis, quests and customization contents:The Golem’s Plight PackThe Light Aurora PackThe Dark Aurora PackThe Rough Oculi PackThe Tumbled Oculi PackThe Faceted Oculi PackThe Stardust Pack",3 GB available space,Version 9.0c,null,80%,83,Strong
"Dungeons 3₹1,799",Dungeons 3,"₹1,799",Strategy,MultiplayerSingle Player,DeveloperRealmforge Studios,PublisherKalypso Media,Release Date11/05/20,PlatformWindowsWindows,Windows 7 64-bit,4GB RAM,Clash of Gods,Famous Last Words,"AMD/NVIDIA, with at least 1024MB of dedicated VRAM & Shader Model 5.0 support (AMD Radeon HD 7000 series, NVIDIA GeForce GTX 600 series)",null,63%,75,Strong
Fishing - North Atlantic₹829,Fishing: North Atlantic - Enhanced Edition,₹829,Simulation,Single Player,DeveloperMisc Games,PublisherMisc Games,Release Date03/10/22,PlatformWindowsWindows,Windows 8.1 64-bit,4 GB RAM,"Commercial FishingThe sequel to the popular simulation game Fishing: Barents Sea invites you to put on your captain’s hat once again: Explore the large ocean of Nova Scotia, try your hand at entirely new fishing methods and enjoy huge range of highly detailed ships in the commercial fishing simulator Fishing: North Atlantic.Hunt And ExploreDiscover majestic world of Canadian Nova Scotia while admiring the vast diversity of ocean life. Explore the fishing zones with upgradable ships and gear as you progress in your career.Realistic WorldLike our predecessor game Fishing Barents Sea, Fishing: North Atlantic makes you experience an atmospheric and realistic game world based on real maps, boats and fish species. Get ready to enjoy new weather systems with upgraded atmospheric effects, North American Vessels and fishing techniques like harpoons, deep-line-buoy-fishing and lobster pots. Purchasing larger boats and better gear will increase your fisherman skills.Fishing VesselsFishing: North Atlantic offers you 27 ships at your disposal for all types of fishing styles and fishing techniques like the harpooning, which is used to hunt swordfish and tuna. Start with harpooning, then work your way up to setting deep lines, catching snow crabs or lobster. As well as longline, net and trawling. Do you have what it takes to fulfill this challenging task?CareerPlan the course of your fishing career throughout the whole year: Brave rain and snow while looking for the best fishing areas, but make sure that you are not in danger of exceeding your quotas! The new advanced fish-AI will require the use of GPS and sonar to follow the movement of your prey depending on weather and season.",DirectX 11,16 GB,"Text: English, Chinese (Simplified), Chinese (Traditional), Danish, Finnish, French, German, Greek, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Spanish (Spain), Swedish, Turkish",null,null,null
Camp SunshineNEW TO EPIC₹169,Camp Sunshine,₹169,IndieHorrorAction-Adventure,Single Player,DeveloperFossil Games,PublisherHound Picked Games,Release Date04/20/22,Windows ,Windows 7 (32bit/64bit),2 GB RAM,Compatible OpenGLR,1 GB available space,null,Text: English,null,null,null
Conan Exiles₹999,Conan Exiles,₹999,SurvivalOpen World,MultiplayerSingle PlayerController Support,DeveloperFuncom,PublisherFuncom,Release Date11/23/21,Windows ,Windows 10 64 Bit,6 GB RAM,Conan Exiles - Architects of Argos Pack,Conan Exiles - Riddle of Steel,Nvidia GeForce GTX 560 (1GB) or AMD Radeon HD 7770 (1GB),null,null,null,null
The End is Nigh₹446,The End is Nigh,₹446,ActionPlatformerIndie,Single PlayerController Support,"DeveloperEdmund McMillen, Tyler Glaiel","PublisherEdmund McMillen, Tyler Glaiel",Release Date07/12/17,PlatformWindowsWindows,Windows 7 or higher,2 GB RAM,dedicated graphics card (opengl 3.0 support or higher),500 MB available space,null,null,82%,82,Strong
"Aces of the Luftwaffe - Squadron Extended Edition₹1,850",Aces of the Luftwaffe – Squadron Extended Edition,"₹1,850",Action,Co-op,DeveloperHandyGames,PublisherHandyGames,Release Date04/08/22,Windows ,Windows 7 or newer,6 GB RAM,Dedicated graphics card needed,DirectX 11,2500 MB available space,"Text: Spanish (Spain), Italian, German, English, French, Japanese",null,null,null
Not For Broadcast₹569,Not For Broadcast,₹569,SimulationIndieAdventure,Controller SupportSingle Player,DeveloperNotGames,PublishertinyBuild,Release Date01/25/22,Windows ,Windows 10,8 Gb,"Dedicated video card is required, 4gb VRAM",DirectX 11,40 Gb,"Text: English, Spanish (Spain), Chinese (Simplified), French, German, Portuguese, Russian",100%,89,Mighty
Alan Wake’s American Nightmare₹297,Alan Wake's American Nightmare,₹297,ActionHorrorShooter,Single PlayerController Support,DeveloperRemedy Entertainment,PublisherRemedy Entertainment,Release Date05/22/12,PlatformWindowsWindows,Windows XP SP2,2 GB RAM,DirectX 10 compatible with 512MB RAM,9.0c,3 GB,null,null,null,null
Alan Wake₹446,Alan Wake,₹446,ActionHorrorShooter,Single PlayerController Support,DeveloperRemedy Entertainment,PublisherRemedy Entertainment,Release Date02/16/16,PlatformWindowsWindows,Windows 7 or later,2 GB RAM,DirectX 10 compatible with 512MB RAM,9.0c,8 GB,null,null,null,null
Darksiders Warmastered Edition₹699,Darksiders Warmastered Edition,₹699,ActionRPGAdventure,Controller Support,"DeveloperKAIKO, Vigil Games",PublisherTHQ Nordic,Release Date11/26/16,PlatformWindowsWindows,"Windows 7, Windows 8, Windows 10",4 GB RAM,DirectX 10 Feature Level AMD or NVIDIA Card with 1 GB VRAM,Version 11,36 GB available space,null,77%,77,Strong
"Kingdoms of Amalur: Re-Reckoning₹1,457",Kingdoms of Amalur: Re-Reckoning,"₹1,457",ActionFightingRPG,null,"Developer KAIKO, Big Huge Games",Publisher THQ Nordic,Release Date09/08/20,PlatformWindowsWindows,"Windows 7, Windows 8, Windows 10 (64 bit)",4 GB RAM,DirectX 10 Feature Level AMD or NVIDIA Card with 1 GB VRAM,Version 11,40 GB available space,null,56%,72,Fair
Jotun: Valhalla Edition₹459,Jotun: Valhalla Edition,₹459,ActionIndieAdventure,Controller Support,DeveloperThunder Lotus,PublisherThunder Lotus,Release Date12/06/19,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,Microsoft® Windows® 7,4 GB RAM,DirectX 10-compatible graphics card with at least 256MB of video memory,Version 10,8 GB available space,null,50%,75,Strong
Sundered: Eldritch Edition₹529,Sundered: Eldritch Edition,₹529,ActionIndie,Controller Support,DeveloperThunder Lotus,PublisherThunder Lotus,Release Date07/28/17,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,Microsoft® Windows® 7 (64-bit),4GB,DirectX 10-compatible graphics card with at least 256MB of video memory,Version 10,3GB,null,87%,81,Strong
Turnip Boy Commits Tax Evasion₹349,Turnip Boy Commits Tax Evasion,₹349,Action-AdventureCasualIndie,Single PlayerController Support,DeveloperSnoozy Kazoo,PublisherGraffiti Games,Release Date03/24/22,Windows ,Microsoft® Windows® 10,1 GB,"DirectX 10, 11, or 12 compatible card",DirectX 10,600 MB available space,"Text: English, French, Italian, German, Portuguese, Russian, Chinese (Simplified), Spanish (Latin America)",46%,73,Fair
Metro 2033 Redux₹670,Metro: 2033 Redux,₹670,ActionFirst PersonShooter,Single Player,Developer4A Games,PublisherDeep Silver,Release Date03/16/10,PlatformWindowsWindows,"Windows Vista, 7 or 8 (64-bit only)",2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",Version 10,10 GB available space,null,83%,85,Mighty
Metro Last Light Redux₹670,Metro: Last Light Redux,₹670,ActionFirst PersonShooter,Single Player,Developer4A Games,PublisherDeep Silver,Release Date06/02/15,PlatformWindowsWindows,"Windows Vista, 7 or 8 (64-bit only)",2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",Version 10,10 GB available space,null,null,null,null
Imagine Earth-20%₹589₹471.20,Imagine Earth,₹471.20,City BuilderStrategySimulation,Controller SupportSingle Player,DeveloperSerious Bros.,PublisherSerious Bros.,Release Date04/28/22,PlatformWindowsWindows,Windows 7/8,2 GB RAM,DirectX 11,1 GB,null,"Text: English, French, Chinese (Simplified), Japanese, German, Czech, Korean, Spanish (Spain), Portuguese, Polish, Turkish, Italian, Russian",null,null,null
Kosmokrats₹349,Kosmokrats,₹349,PuzzleAdventureIndie,Single Player,DeveloperPixel Delusion,PublisherModern Wolf,Release Date12/18/20,Windows ,Windows 7,4 GB,DirectX 11,null,null,null,55%,73,Fair
The Hand of Merlin₹939,The Hand of Merlin,₹939,IndieRPGRogue-LiteStrategy,null,DeveloperRoom-C Games,PublisherVersus Evil,Release Date05/11/21,PlatformWindowsWindows,Windows 7 SP1 with Platform Update (64 bit),4 GB,DirectX 11,"Nvidia GeForce GT 1030 2GB, AMD Radeon RX 550 2 GB",null,null,null,null,null
Sockventure₹589,Sockventure,₹589,ActionIndieAction-AdventureAdventure,Single Player,DeveloperNighthouse Games,PublisherVersus Evil,Release Date05/11/21,PlatformWindowsWindows,Windows 7,4 GB,DirectX 11,Nvidia GeForce GTX 750 Ti or equivalent,null,null,null,null,null
Mothergunship₹939,Mothergunship,₹939,ActionShooter,Co-opMultiplayerSingle Player,DeveloperTerrible Posture Games,PublisherVersus Evil,Release Date07/29/21,Windows ,Windows 7 64-bit,4 GB,DirectX 11,Nvidia GTX 750 Ti 2GB / AMD Radeon R7 265,null,null,54%,75,Strong
Scott Pilgrim vs. The World: The Game – Complete Edition₹749,Scott Pilgrim vs. The World: The Game – Complete Edition,₹749,ActionFighting,null,DeveloperUbisoft,PublisherUbisoft,Release Date01/14/21,PlatformWindowsWindows,Windows 10,Nvidia GTX 660 - 2GB / AMD 270x - 2GB / Intel UHD 630,DirectX 11,8GB (dual channel mode),null,null,null,null,null
Wonhon: A Vengeful SpiritNEW TO EPIC₹259,Wonhon: A Vengeful Spirit,₹259,ActionIndieAdventure,Single Player,DeveloperBUSAN SANAI GAMES,PublisherSuper.com,Release Date04/28/22,Windows ,Windows 10 (64-bit),6 GB RAM,"DirectX 11 capable card, i.e. GTX 650 or better",4 GB available space,null,"Text: English, Spanish (Spain), French, German, Chinese (Simplified), Korean, Portuguese, Russian",null,null,null
The Talos Principle₹894,The Talos Principle,₹894,ActionIndieAdventure,Single Player,Developer Croteam,Publisher Devolver Digital,Release Date12/11/14,PlatformWindowsWindows,Windows 7,2 GB RAM,"DirectX 11 class GPU with 1GB VRAM (nVidia GeForce 480 GTX, AMD Radeon HD 5870)",5 GB available space,null,null,89%,87,Mighty
Glitchhikers: The Spaces Between₹309,Glitchhikers: The Spaces Between,₹309,CasualExplorationIndie,Single PlayerController Support,DeveloperSilverstring Media Inc.,PublisherFellow Traveller,Release Date03/31/22,Windows ,Windows 7+,4 GB RAM,DirectX 11 compatible GPU,DirectX 11,2 GB available space,"Text: English, Chinese (Simplified)",null,null,null
Bloodroots₹595,Bloodroots,₹595,ActionAction-AdventureAdventureIndie,Single Player,DeveloperPaper Cult,PublisherPaper Cult,Release Date02/28/20,PlatformWindowsWindows,Windows 8,4 GB RAM,DirectX 11 compatible graphics card,DirectX11,4 GB available space,null,77%,78,Strong
Mechajammer₹589,Mechajammer,₹589,RPGExplorationStrategy,Single Player,DeveloperWhalenought Studios,PublisherModern Wolf,Release Date12/02/21,Windows ,Windows 7,2 GB RAM,DirectX 11 compatible video card,DirectX 11,5 GB available space,Text: English,null,null,null
Blue Fire₹469,Blue Fire,₹469,Action-AdventureIndie,Single PlayerController Support,DeveloperRobi Studios,PublisherGraffiti Games,Release Date03/24/22,Windows ,Windows 10 64-bit,8 GB Ram,DirectX 11 or DirectX 12 compatible graphics card,DirectX 11,5 GB,"Text: English, French, Italian, German, Portuguese, Russian, Spanish (Latin America), Spanish (Spain)",41%,71,Fair
Orwell: Keeping an Eye on You₹349,Orwell: Keeping an Eye on You,₹349,SimulationNarration,Single Player,DeveloperOsmotic Studios,PublisherOsmotic Studios,Release Date03/18/22,Windows ,Windows XP SP2+,4 GB,DirectX 9,GPU: DirectX 9 compatible,null,null,71%,82,Strong
Princess Farmer₹349,Princess Farmer,₹349,Puzzle,Co-op,DeveloperSamobee Games,PublisherWhitethorn Games,Release Date03/31/22,PlatformWindowsWindows,"Windows XP, Vista, 7 or later",32 MB RAM,DirectX 9 compliant graphics card,DirectX 9,700 MB available space,Text: English,null,null,null
Hamsterdam₹119,Hamsterdam,₹119,ActionFightingIndie,Single Player,DeveloperMuse Games,PublisherMuse Games,Release Date09/09/21,Windows ,Windows 7,2G,DirectX 9.0,Dedicated graphics card with at least 512MB VRAM,null,null,null,null,null
Tower of Guns₹589,Tower of Guns,₹589,ActionShooter,Single Player,DeveloperTerrible Posture Games,PublisherVersus Evil,Release Date07/22/21,Windows ,Windows Vista/7,3 GB,DirectX 9.0c,NVidia Geforce 275 GTX +512mb memory,null,null,24%,69,Fair
Amelie₹89,Amelie,₹89,NarrationHorrorIndie,Single Player,DeveloperTwo and a Half Studios,PublisherHound Picked Games,Release Date03/07/22,PlatformWindowsWindowsMac OSMac OS,Windows 7,512MB,DirectX or OpenGL compatible card,1GB,null,Text: English,null,null,null
Torchlight₹446,Torchlight,₹446,ActionDungeon CrawlerRPG,Single Player,DeveloperRunic Games,PublisherPerfect World Entertainment,Release Date02/26/20,PlatformWindowsWindows,Windows XP or later,512MB,"DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200, NVIDIA GeForce 2, or Intel GMA 950)",9.0c,400MB,null,null,null,null
RevitaNEW TO EPIC-20%₹399₹319.20,Revita,₹319.20,Action-AdventureRPGIndie,Single Player,DeveloperBenStar,PublisherDear Villagers,Release Date04/21/22,Windows ,Windows 10 (version 1607 or better),2048 MB,DirectX® 10 compliant graphics card and driver,DirectX 10,250 MB,"Text: English, French, German, Chinese (Simplified), Spanish (Latin America)",null,null,null
Flat Heroes₹239,Flat Heroes,₹239,ActionPlatformer,Single PlayerMultiplayerCo-opCompetitiveController Support,DeveloperParallel Circles,PublisherParallel Circles,Release Date09/16/21,PlatformWindowsWindows,Windows 7,2 GB RAM,DirectX® 9.0c Compatible,DirectX 9,400mb,"Text: English, Bulgarian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Italian, Norwegian, Romanian, Russian, Spanish, Swedish, Ukrainian",87%,81,Strong
The Vanishing of Ethan Carter₹469,The Vanishing of Ethan Carter,₹469,Exploration,Single Player,DeveloperThe Astronauts,PublisherThe Astronauts,Release Date12/19/21,Windows ,Windows 64-bit,6 GB RAM,DirectX11 compliant card with 1GB of VRAM,null,null,null,72%,80,Strong
Legend of Bum bo₹349,The Legend of Bum-bo,₹349,PuzzleDungeon CrawlerRPG,Single Player,DeveloperEdmund McMillen,"PublisherNicalis, Inc.",Release Date02/04/22,Windows ,Windows 7 or later (64 bit required),4 GB RAM,"Discreet video card, Shader Model 3+",DirectX 9,4 GB available space,Text: English,67%,74,Fair
Gone Viral₹469,Gone Viral,₹469,Rogue-LiteDungeon CrawlerAction,Single Player,DeveloperSkullbot Games,PublisherAkupara Games,Release Date11/01/21,PlatformWindowsWindows,Windows 7 SP1 /8 /10 (64-bit only),4GB RAM,Discrete Non Mobile GPU w/ 1GB RAM,DirectX 11,2GB Available Space,"Text: English, French, German",null,null,null
The Escapists 2₹521,The Escapists 2,₹521,IndieSimulationStrategy,null,DeveloperTeam17 and Mouldy Toof Studios,PublisherTeam17 Digital Ltd,Release Date07/09/20,PlatformWindowsWindows,Windows 7/8.1/10 (32-bit versions),"Intel 4400, GeForce GT 8800, AMD Radeon HD 4650",Dungeons and Duct Tape,4GB,11,null,61%,75,Strong
Untitled Goose Game₹595,Untitled Goose Game,₹595,PuzzleComedyStealth,Single Player,DeveloperHouse House,PublisherPanic,Release Date09/20/19,PlatformWindowsWindowsMac OSMac OS,Windows 7 SP1+ (64 Bit),8GB,DX10 Graphics (Shader Model 4),null,null,null,83%,80,Strong
Kine₹349,Kine,₹349,PuzzleNarrationStrategy,Single Player,DeveloperGwen Frey,PublisherGwen Frey,Release Date02/24/20,PlatformWindowsWindows,Windows 7 64 bit,4 GB RAM,DX11 compatible video card,Version 11,2 GB available space,null,null,null,null
"Horizon Zero Dawn™ Complete Edition₹3,299",Horizon Zero Dawn™ Complete Edition,"₹3,299",ActionRPGAction-AdventureAdventure,Single Player,DeveloperGuerrilla,PublisherPlayStation PC LLC,Release Date08/07/20,PlatformWindowsWindows,Windows 10 64-bits,8GB RAM,"EARTH IS OURS NO MOREExperience Aloy’s entire legendary quest to unravel the mysteries of a world ruled by deadly Machines.An outcast from her tribe, the young hunter fights to uncover her past, discover her destiny… and stop a catastrophic threat to the future.Unleash devastating, tactical attacks against unique Machines and rival tribes as you explore an open wold teeming with wildlife and danger.Horizon Zero Dawn™ is a multi-award-winning action role-playing game – and this Complete Edition for PC includes the huge expansion The Frozen Wilds, featuring new lands, skills, weapons and Machines.INCLUDES:Horizon Zero DawnThe Frozen Wilds expansionCarja Storm Ranger Outfit and Carja Mighty BowCarja Trader PackBanuk Trailblazer Outfit and Banuk Culling BowBanuk Traveller PackNora Keeper PackDigital art book",DirectX 12,Nvidia GeForce GTX 780 (3 GB)/AMD Radeon R9 290 (4GB),null,94%,89,Mighty
Rising Hell₹239,Rising Hell,₹239,Rogue-Lite,Single Player,DeveloperTahoe Games,PublisherToge Productions,Release Date02/11/22,Windows ,Windows 7,2 GB,"ESCAPE HELLFight your way through hordes of blood-lusting demons and escape hell as you unlock new characters and talents to create chaos in the randomly generated and ever-changing landscape of hell!Heavy-metal riffs and pixelated madness will accompany you as you fight your way out from the depths of fiery hell, facing the bugs-ridden Beelzebub’s Lair, and other pits of hell with different creatures, bosses, and living traps lurking around. Chaining combos, jumping maneuvers, and talent building will be your key to help you climb your way out of hell in this adrenaline-pumping vertical platformer.FEATURESVertical Rogue-lite: Climb out of the ever-changing procedurally generated hell while the ever-present threat of permadeath fills your veins with adrenaline.Epic Boss Battles: Slay gigantic ancient demons such as Dagon, Beelzebub, and many more.Multiple Game Modes: Choose between campaign and challenge modes complete with its own leaderboards.Unlockable Characters: Play and unlock different characters that will give you a variety of different playstyles and strategies.",700 mb,Gamepad,"Text: Spanish (Latin America), French, Chinese (Simplified), Korean, Japanese, Portuguese, English, Spanish (Spain), Chinese (Traditional)",67%,79,Strong
Nowhere Prophet₹589,Nowhere Prophet,₹589,Card GameTurn-Based,Single Player,DeveloperSharkbomb Studios,PublisherNo More Robots,Release Date03/10/22,PlatformWindowsWindows,"Windows 10, 7 or Vista",4096 MB RAM,External,null,null,"Text: Chinese (Simplified), French, Spanish (Spain), English, German",81%,80,Strong
Far Cry 3: Blood Dragon₹749,Far Cry 3: Blood Dragon,₹749,First PersonShooterOpen WorldAdventure,Single Player,DeveloperUbisoft,PublisherUbisoft,Release Date02/18/20,PlatformWindowsWindows,Windows® XP (SP3) / Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,2 GB,"Far Cry 3: Blood DragonYou are Sergeant Rex Colt: Mark IV Cyber Commando. The year is 2007 and Earth has been ravaged by a nuclear war which erupted in the 90s. After a disastrous decade, new paths for peace must be found, and the US cyborg army may have found a solution: a powerful bioweapon on a distant island. Your mission is to gather information and figure out what the hell is going on.-A KICK-ASS CYBER SHOOTERLock and load as you and your seven favorite fully customizable killing implements tackle a bizarre open world island crawling with evil. Take down the enemy with ninja stars, guns or even just good old explosives. Your battle. Your way. Their tough luck.-GET THE GIRL, KILL THE BAD GUYS AND SAVE THE WORLDAs Sergeant Rex Colt, you are part man, part machine, all American. You are a state-of-the-art Mark IV cyber-commando on a mission of vengeance. You’re out to bring down your old commanding officer and his battalion of ruthless killer cyborgs-and you’ll stop at nothing to get the job done.",DirectX® 9.0c,3 GB HD space,null,null,null,null
"FAR CRY 4₹1,499",FAR CRY 4,"₹1,499",ActionFirst PersonShooterOpen WorldAdventure,Single Player,DeveloperUbisoft,PublisherUbisoft,Release Date11/18/14,PlatformWindowsWindows,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),4 GB RAM,"FAR CRY 4Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother’s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min. • EXPLORE AN OPEN WORLD FILLED WITH POSSIBILITIESDiscover the most diverse and deadly Far Cry world ever created. From leopards, rhinos, black eagles, and vicious honey badgers, Kyrat is home to abundant wildlife. Scout enemy territory in the all-new gyrocopter, plummet back to earth in your wing suit. Climb aboard the back of a six-ton elephant and unleash its raw power on your enemies.Choose the right weapon for the job, no matter how insane or unpredictable that job might be. • CO-OP: BRING A FRIENDNot every journey should be taken alone. Far Cry 4 allows for a second player to drop in and drop out at any point, re-imagining the cooperative experience in the true spirit of Far Cry for the next generation.",Version 11,Broadband Internet connection,null,88%,84,Mighty
"Far Cry 5 Standard Edition₹2,999",Far Cry 5,"₹2,999",ActionShooterOpen WorldAdventure,Co-opSingle Player,"DeveloperUbisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",PublisherUbisoft,Release Date03/27/18,PlatformWindowsWindows,Windows 7 SP1 | Windows 8.1 | Windows 10 | 64-bit only,NVIDIA GeForce GTX 670 | AMD R9 270,"Far Cry 5FIGHT AGAINST A DEADLY CULTFree Hope County in solo or two-player co-op. Recruit Guns and Fangs for hire to help defeat the cult.CARVE YOUR OWN PATHBuild your character and choose your adventure in the largest customizable Far Cry game ever!DYNAMIC TOYSTake control of iconic muscle cars, ATV's, planes and a lot more to engage the cult forces in epic fights.",40 GB available space,Game contains EasyAntiCheat,null,81%,82,Strong
